index,image,op,backend,threads_used,time_ms,correct,width,height
0,image0.jpg,sobel,cuda,0,0.100400,1,1024,640
0,image0.jpg,sobel,cpu,1,16.671000,1,1024,640
0,image0.jpg,sobel,mt,0,16.506500,1,1024,640
0,image0.jpg,sharpen,cuda,0,0.045000,1,1024,640
0,image0.jpg,sharpen,cpu,1,37.019200,1,1024,640
0,image0.jpg,sharpen,mt,0,37.800600,1,1024,640
0,image0.jpg,gaussian,cuda,0,0.108900,1,1024,640
0,image0.jpg,gaussian,cpu,1,28.310300,1,1024,640
0,image0.jpg,gaussian,mt,0,28.900200,1,1024,640
1,image1.jpg,sobel,cuda,0,0.138100,1,1024,1024
1,image1.jpg,sobel,cpu,1,27.580500,1,1024,1024
1,image1.jpg,sobel,mt,0,27.198400,1,1024,1024
1,image1.jpg,sharpen,cuda,0,0.049700,1,1024,1024
1,image1.jpg,sharpen,cpu,1,54.216300,1,1024,1024
1,image1.jpg,sharpen,mt,0,55.595200,1,1024,1024
1,image1.jpg,gaussian,cuda,0,0.085300,1,1024,1024
1,image1.jpg,gaussian,cpu,1,44.735800,1,1024,1024
1,image1.jpg,gaussian,mt,0,45.316100,1,1024,1024
2,image2.jpg,sobel,cuda,0,0.101700,1,800,800
2,image2.jpg,sobel,cpu,1,16.300700,1,800,800
2,image2.jpg,sobel,mt,0,16.224200,1,800,800
2,image2.jpg,sharpen,cuda,0,0.047300,1,800,800
2,image2.jpg,sharpen,cpu,1,33.224200,1,800,800
2,image2.jpg,sharpen,mt,0,33.277300,1,800,800
2,image2.jpg,gaussian,cuda,0,0.080100,1,800,800
2,image2.jpg,gaussian,cpu,1,27.565800,1,800,800
2,image2.jpg,gaussian,mt,0,27.342600,1,800,800
3,image3.jpg,sobel,cuda,0,0.079900,1,640,640
3,image3.jpg,sobel,cpu,1,10.459300,1,640,640
3,image3.jpg,sobel,mt,0,10.297700,1,640,640
3,image3.jpg,sharpen,cuda,0,0.041000,1,640,640
3,image3.jpg,sharpen,cpu,1,20.570700,1,640,640
3,image3.jpg,sharpen,mt,0,21.611400,1,640,640
3,image3.jpg,gaussian,cuda,0,0.072800,1,640,640
3,image3.jpg,gaussian,cpu,1,17.266800,1,640,640
3,image3.jpg,gaussian,mt,0,17.844300,1,640,640
4,image4.jpg,sobel,cuda,0,0.107100,1,1024,681
4,image4.jpg,sobel,cpu,1,17.360500,1,1024,681
4,image4.jpg,sobel,mt,0,17.803200,1,1024,681
4,image4.jpg,sharpen,cuda,0,0.058500,1,1024,681
4,image4.jpg,sharpen,cpu,1,34.398200,1,1024,681
4,image4.jpg,sharpen,mt,0,33.943600,1,1024,681
4,image4.jpg,gaussian,cuda,0,0.075500,1,1024,681
4,image4.jpg,gaussian,cpu,1,29.784300,1,1024,681
4,image4.jpg,gaussian,mt,0,29.770500,1,1024,681
5,image5.jpg,sobel,cuda,0,0.137200,1,1024,1024
5,image5.jpg,sobel,cpu,1,26.633300,1,1024,1024
5,image5.jpg,sobel,mt,0,26.109400,1,1024,1024
5,image5.jpg,sharpen,cuda,0,0.050700,1,1024,1024
5,image5.jpg,sharpen,cpu,1,55.014900,1,1024,1024
5,image5.jpg,sharpen,mt,0,54.626000,1,1024,1024
5,image5.jpg,gaussian,cuda,0,0.082400,1,1024,1024
5,image5.jpg,gaussian,cpu,1,45.336700,1,1024,1024
5,image5.jpg,gaussian,mt,0,44.385600,1,1024,1024
